name,last_name_rank
DUNN,185
PIERCE,186
ARNOLD,187
TRAN,188
SPENCER,189
PETERS,190
HAWKINS,191
GRANT,192
HANSEN,193
CASTRO,194
HOFFMAN,195
HART,196
ELLIOTT,197
CUNNINGHAM,198
KNIGHT,199
BRADLEY,200
CARROLL,201
HUDSON,202
DUNCAN,203
ARMSTRONG,204
BERRY,205
ANDREWS,206
JOHNSTON,207
RAY,208
LANE,209
RILEY,210
CARPENTER,211
PERKINS,212
AGUILAR,213
SILVA,214
RICHARDS,215
WILLIS,216
MATTHEWS,217
CHAPMAN,218
LAWRENCE,219
GARZA,220
VARGAS,221
WATKINS,222
WHEELER,223
LARSON,224
CARLSON,225
HARPER,226
GEORGE,227
GREENE,228
BURKE,229
GUZMAN,230
MORRISON,231
MUNOZ,232
JACOBS,233
OBRIEN,234
LAWSON,235
FRANKLIN,236
LYNCH,237
BISHOP,238
CARR,239
SALAZAR,240
AUSTIN,241
MENDEZ,242
GILBERT,243
JENSEN,244
WILLIAMSON,245
MONTGOMERY,246
HARVEY,247
OLIVER,248
HOWELL,249
DEAN,250
HANSON,251
WEBER,252
GARRETT,253
SIMS,254
BURTON,255
FULLER,256
SOTO,257
MCCOY,258
WELCH,259
CHEN,260
SCHULTZ,261
WALTERS,262
REID,263
FIELDS,264
WALSH,265
LITTLE,266
FOWLER,267
BOWMAN,268
DAVIDSON,269
MAY,270
DAY,271
SCHNEIDER,272
NEWMAN,273
BREWER,274
LUCAS,275
HOLLAND,276
WONG,277
BANKS,278
SANTOS,279
CURTIS,280
PEARSON,281
DELGADO,282
VALDEZ,283
PENA,284
RIOS,285
DOUGLAS,286
SANDOVAL,287
BARRETT,288
HOPKINS,289
KELLER,290
GUERRERO,291
STANLEY,292
BATES,293
ALVARADO,294
BECK,295
ORTEGA,296
WADE,297
ESTRADA,298
CONTRERAS,299
BARNETT,300
CALDWELL,301
SANTIAGO,302
LAMBERT,303
POWERS,304
CHAMBERS,305
NUNEZ,306
CRAIG,307
LEONARD,308
LOWE,309
RHODES,310
BYRD,311
GREGORY,312
SHELTON,313
FRAZIER,314
BECKER,315
MALDONADO,316
FLEMING,317
VEGA,318
SUTTON,319
COHEN,320
JENNINGS,321
PARKS,322
MCDANIEL,323
WATTS,324
BARKER,325
NORRIS,326
VAUGHN,327
VAZQUEZ,328
HOLT,329
SCHWARTZ,330
STEELE,331
BENSON,332
NEAL,333
DOMINGUEZ,334
HORTON,335
TERRY,336
WOLFE,337
HALE,338
LYONS,339
GRAVES,340
HAYNES,341
MILES,342
PARK,343
WARNER,344
PADILLA,345
BUSH,346
THORNTON,347
MCCARTHY,348
MANN,349
ZIMMERMAN,350
ERICKSON,351
FLETCHER,352
MCKINNEY,353
PAGE,354
DAWSON,355
JOSEPH,356
MARQUEZ,357
REEVES,358
KLEIN,359
ESPINOZA,360
BALDWIN,361
MORAN,362
LOVE,363
ROBBINS,364
HIGGINS,365
BALL,366
CORTEZ,367
LE,368
GRIFFITH,369
BOWEN,370
SHARP,371
CUMMINGS,372
RAMSEY,373
HARDY,374
SWANSON,375
BARBER,376
ACOSTA,377
LUNA,378
CHANDLER,379
BLAIR,380
DANIEL,380
CROSS,382
SIMON,383
DENNIS,384
OCONNOR,385
QUINN,386
GROSS,387
NAVARRO,388
MOSS,389
FITZGERALD,390
DOYLE,391
MCLAUGHLIN,392
ROJAS,393
RODGERS,394
STEVENSON,395
SINGH,396
YANG,397
FIGUEROA,398
HARMON,399
NEWTON,400
PAUL,401
MANNING,402
GARNER,403
MCGEE,404
REESE,405
FRANCIS,406
BURGESS,407
ADKINS,408
GOODMAN,409
CURRY,410
BRADY,411
CHRISTENSEN,412
POTTER,413
WALTON,414
GOODWIN,415
MULLINS,416
MOLINA,417
WEBSTER,418
FISCHER,419
CAMPOS,420
AVILA,421
SHERMAN,422
TODD,423
CHANG,424
BLAKE,425
MALONE,426
WOLF,427
HODGES,428
JUAREZ,429
GILL,430
FARMER,431
HINES,432
GALLAGHER,433
DURAN,434
HUBBARD,435
CANNON,436
MIRANDA,437
WANG,438
SAUNDERS,439
TATE,440
MACK,441
HAMMOND,442
CARRILLO,443
TOWNSEND,444
WISE,445
INGRAM,446
BARTON,447
MEJIA,448
AYALA,449
SCHROEDER,450
HAMPTON,451
ROWE,452
PARSONS,453
FRANK,454
WATERS,455
STRICKLAND,456
OSBORNE,457
MAXWELL,458
CHAN,459
DELEON,460
NORMAN,461
HARRINGTON,462
CASEY,463
PATTON,464
LOGAN,465
BOWERS,466
MUELLER,467
GLOVER,468
FLOYD,469
HARTMAN,470
BUCHANAN,471
COBB,472
FRENCH,473
KRAMER,474
MCCORMICK,475
CLARKE,476
TYLER,477
GIBBS,478
MOODY,479
CONNER,480
SPARKS,481
MCGUIRE,482
LEON,483
BAUER,484
NORTON,485
POPE,486
FLYNN,487
HOGAN,488
ROBLES,489
SALINAS,490
YATES,491
LINDSEY,492
LLOYD,493
MARSH,494
MCBRIDE,495
OWEN,496
SOLIS,497
PHAM,498
LANG,499
PRATT,500
LARA,501
BROCK,502
BALLARD,503
TRUJILLO,504
SHAFFER,505
DRAKE,506
ROMAN,507
AGUIRRE,508
MORTON,509
STOKES,510
LAMB,511
PACHECO,512
PATRICK,513
COCHRAN,514
SHEPHERD,515
CAIN,516
BURNETT,517
HESS,518
LI,519
CERVANTES,520
OLSEN,521
BRIGGS,522
OCHOA,523
CABRERA,524
VELASQUEZ,525
MONTOYA,526
ROTH,527
MEYERS,528
CARDENAS,529
FUENTES,530
WEISS,531
HOOVER,532
WILKINS,532
NICHOLSON,534
UNDERWOOD,535
SHORT,536
CARSON,537
MORROW,538
COLON,539
HOLLOWAY,540
SUMMERS,541
BRYAN,542
PETERSEN,543
MCKENZIE,544
SERRANO,545
WILCOX,546
CAREY,547
CLAYTON,548
POOLE,549
CALDERON,550
GALLEGOS,551
GREER,552
RIVAS,553
GUERRA,554
DECKER,555
COLLIER,556
WALL,557
WHITAKER,558
BASS,559
FLOWERS,560
DAVENPORT,561
CONLEY,562
HOUSTON,563
HUFF,564
COPELAND,565
HOOD,566
MONROE,567
MASSEY,568
ROBERSON,569
COMBS,570
FRANCO,571
LARSEN,572
PITTMAN,573
RANDALL,574
SKINNER,575
WILKINSON,576
KIRBY,577
CAMERON,578
BRIDGES,579
ANTHONY,580
RICHARD,581
KIRK,582
BRUCE,583
SINGLETON,584
MATHIS,585
BRADFORD,586
BOONE,587
ABBOTT,588
CHARLES,589
ALLISON,590
SWEENEY,591
ATKINSON,592
HORN,593
JEFFERSON,594
ROSALES,595
YORK,596
CHRISTIAN,597
PHELPS,598
FARRELL,599
CASTANEDA,600
NASH,601
DICKERSON,602
BOND,603
WYATT,604
FOLEY,605
CHASE,606
GATES,607
VINCENT,608
MATHEWS,609
HODGE,610
GARRISON,611
TREVINO,612
VILLARREAL,613
HEATH,614
DALTON,615
VALENCIA,616
CALLAHAN,617
HENSLEY,618
ATKINS,619
HUFFMAN,620
ROY,621
BOYER,622
SHIELDS,623
LIN,624
HANCOCK,625
GRIMES,626
GLENN,627
CLINE,628
DELACRUZ,629
CAMACHO,630
DILLON,631
PARRISH,632
ONEILL,633
MELTON,634
BOOTH,635
KANE,636
BERG,637
HARRELL,638
PITTS,639
SAVAGE,640
WIGGINS,641
BRENNAN,642
SALAS,643
MARKS,644
RUSSO,645
SAWYER,646
BAXTER,647
GOLDEN,648
HUTCHINSON,649
LIU,650
WALTER,651
MCDOWELL,652
WILEY,653
RICH,654
HUMPHREY,655
JOHNS,656
KOCH,657
SUAREZ,658
HOBBS,659
BEARD,660
GILMORE,661
IBARRA,662
KEITH,663
MACIAS,664
KHAN,665
ANDRADE,666
WARE,667
STEPHENSON,668
HENSON,669
WILKERSON,670
DYER,671
MCCLURE,672
BLACKWELL,673
MERCADO,674
TANNER,675
EATON,676
CLAY,677
BARRON,678
BEASLEY,679
ONEAL,680
PRESTON,681
SMALL,681
WU,683
ZAMORA,684
MACDONALD,685
VANCE,686
SNOW,687
MCCLAIN,688
STAFFORD,689
OROZCO,690
BARRY,691
ENGLISH,692
SHANNON,693
KLINE,694
JACOBSON,695
WOODARD,696
HUANG,697
KEMP,698
MOSLEY,699
PRINCE,700
MERRITT,701
HURST,702
VILLANUEVA,703
ROACH,704
NOLAN,705
LAM,706
YODER,707
MCCULLOUGH,708
LESTER,709
SANTANA,710
VALENZUELA,711
WINTERS,712
BARRERA,713
LEACH,714
ORR,714
BERGER,716
MCKEE,717
STRONG,718
CONWAY,719
STEIN,720
WHITEHEAD,721
BULLOCK,722
ESCOBAR,723
KNOX,724
MEADOWS,725
SOLOMON,726
VELEZ,727
ODONNELL,728
KERR,729
STOUT,730
BLANKENSHIP,731
BROWNING,732
KENT,733
LOZANO,734
BARTLETT,735
PRUITT,736
BUCK,737
BARR,738
GAINES,739
DURHAM,740
GENTRY,741
MCINTYRE,742
SLOAN,743
MELENDEZ,744
ROCHA,744
HERMAN,746
SEXTON,747
MOON,748
HENDRICKS,749
RANGEL,750
STARK,751
LOWERY,752
HARDIN,753
HULL,754
SELLERS,755
ELLISON,756
CALHOUN,757
GILLESPIE,758
MORA,759
KNAPP,760
MCCALL,761
MORSE,762
DORSEY,763
WEEKS,764
NIELSEN,765
LIVINGSTON,766
LEBLANC,767
MCLEAN,768
BRADSHAW,769
GLASS,770
MIDDLETON,771
BUCKLEY,772
SCHAEFER,773
FROST,774
HOWE,775
HOUSE,776
MCINTOSH,777
HO,778
PENNINGTON,779
REILLY,780
HEBERT,781
MCFARLAND,782
HICKMAN,783
NOBLE,784
SPEARS,785
CONRAD,786
ARIAS,787
GALVAN,788
VELAZQUEZ,789
HUYNH,790
FREDERICK,791
RANDOLPH,792
CANTU,793
FITZPATRICK,794
MAHONEY,795
PECK,796
VILLA,797
MICHAEL,798
DONOVAN,799
MCCONNELL,800
WALLS,801
BOYLE,802
MAYER,803
ZUNIGA,804
GILES,805
PINEDA,806
PACE,807
HURLEY,808
MAYS,809
MCMILLAN,810
CROSBY,811
AYERS,812
CASE,813
BENTLEY,814
SHEPARD,815
EVERETT,816
PUGH,817
DAVID,818
MCMAHON,819
DUNLAP,820
BENDER,821
HAHN,822
HARDING,823
ACEVEDO,824
RAYMOND,825
BLACKBURN,826
DUFFY,827
LANDRY,828
DOUGHERTY,829
BAUTISTA,830
SHAH,831
POTTS,832
ARROYO,833
VALENTINE,834
MEZA,835
GOULD,836
VAUGHAN,837
FRY,838
RUSH,839
AVERY,840
HERRING,841
DODSON,842
CLEMENTS,843
SAMPSON,844
TAPIA,845
BEAN,846
LYNN,847
CRANE,848
FARLEY,849
CISNEROS,850
BENTON,851
ASHLEY,852
MCKAY,853
FINLEY,854
BEST,855
BLEVINS,856
FRIEDMAN,857
MOSES,858
SOSA,859
BLANCHARD,860
HUBER,861
FRYE,862
KRUEGER,863
BERNARD,864
ROSARIO,865
RUBIO,866
MULLEN,867
BENJAMIN,868
HALEY,869
CHUNG,870
MOYER,871
CHOI,872
HORNE,873
YU,874
WOODWARD,875
ALI,876
NIXON,877
HAYDEN,878
RIVERS,879
ESTES,880
MCCARTY,881
RICHMOND,882
STUART,883
MAYNARD,884
BRANDT,885
OCONNELL,886
HANNA,887
SANFORD,888
SHEPPARD,889
CHURCH,890
BURCH,891
LEVY,892
RASMUSSEN,893
COFFEY,894
PONCE,895
FAULKNER,896
DONALDSON,897
SCHMITT,898
NOVAK,899
COSTA,900
MONTES,901
BOOKER,902
CORDOVA,903
WALLER,904
ARELLANO,905
MADDOX,906
MATA,907
BONILLA,908
STANTON,909
COMPTON,910
KAUFMAN,911
DUDLEY,912
MCPHERSON,913
BELTRAN,914
DICKSON,915
MCCANN,916
VILLEGAS,917
PROCTOR,918
HESTER,919
CANTRELL,920
DAUGHERTY,921
CHERRY,922
BRAY,923
DAVILA,924
ROWLAND,925
LEVINE,926
MADDEN,926
SPENCE,928
GOOD,929
IRWIN,930
WERNER,931
KRAUSE,932
PETTY,933
WHITNEY,934
BAIRD,935
HOOPER,936
POLLARD,937
ZAVALA,938
JARVIS,939
HOLDEN,940
HAAS,941
HENDRIX,941
MCGRATH,943
BIRD,944
LUCERO,945
TERRELL,946
RIGGS,947
JOYCE,948
MERCER,949
ROLLINS,949
GALLOWAY,951
DUKE,952
ODOM,953
ANDERSEN,954
DOWNS,955
HATFIELD,956
BENITEZ,957
ARCHER,958
HUERTA,959
TRAVIS,960
MCNEIL,961
HINTON,962
ZHANG,963
HAYS,964
MAYO,965
FRITZ,966
BRANCH,967
MOONEY,968
EWING,969
RITTER,970
ESPARZA,971
FREY,972
BRAUN,973
GAY,974
RIDDLE,975
HANEY,976
KAISER,977
HOLDER,978
CHANEY,979
MCKNIGHT,980
GAMBLE,981
VANG,982
COOLEY,983
CARNEY,984
COWAN,985
FORBES,986
FERRELL,987
DAVIES,988
BARAJAS,989
SHEA,990
OSBORN,991
BRIGHT,992
CUEVAS,993
BOLTON,994
MURILLO,995
LUTZ,996
DUARTE,997
KIDD,998
KEY,999
COOKE,1000
GOFF,1001
DEJESUS,1002
MARIN,1003
DOTSON,1004
BONNER,1005
COTTON,1006
MERRILL,1007
LINDSAY,1008
LANCASTER,1009
MCGOWAN,1010
FELIX,1011
SALGADO,1012
SLATER,1013
CARVER,1014
GUTHRIE,1015
HOLMAN,1016
FULTON,1017
SNIDER,1018
SEARS,1019
WITT,1020
NEWELL,1021
BYERS,1022
LEHMAN,1023
GORMAN,1024
COSTELLO,1025
DONAHUE,1026
DELANEY,1027
ALBERT,1028
WORKMAN,1029
ROSAS,1030
SPRINGER,1031
JUSTICE,1032
KINNEY,1032
ODELL,1034
LAKE,1035
DONNELLY,1036
LAW,1037
DAILEY,1038
GUEVARA,1039
SHOEMAKER,1040
BARLOW,1041
MARINO,1042
WINTER,1043
CRAFT,1044
KATZ,1045
PICKETT,1046
ESPINOSA,1047
DALY,1048
MALONEY,1048
GOLDSTEIN,1050
CROWLEY,1051
VOGEL,1052
KUHN,1053
PEARCE,1054
HARTLEY,1055
CLEVELAND,1056
PALACIOS,1057
MCFADDEN,1058
BRITT,1059
WOOTEN,1060
CORTES,1061
DILLARD,1062
CHILDERS,1063
ALFORD,1064
DODD,1065
EMERSON,1066
WILDER,1067
LANGE,1068
GOLDBERG,1069
QUINTERO,1070
BEACH,1071
ENRIQUEZ,1072
QUINTANA,1073
HELMS,1074
MACKEY,1075
FINCH,1076
CRAMER,1077
MINOR,1078
FLANAGAN,1079
FRANKS,1080
CORONA,1081
KENDALL,1082
MCCABE,1083
HENDRICKSON,1084
MOSER,1085
MCDERMOTT,1086
CAMP,1087
MCLEOD,1088
BERNAL,1089
KAPLAN,1090
MEDRANO,1091
LUGO,1092
TRACY,1093
BACON,1094
CROWE,1095
RICHTER,1096
WELSH,1097
HOLLEY,1098
RATLIFF,1099
MAYFIELD,1100
TALLEY,1101
HAINES,1102
DALE,1103
GIBBONS,1104
HICKEY,1105
BYRNE,1106
KIRKLAND,1107
FARRIS,1108
CORREA,1109
TILLMAN,1110
SWEET,1111
KESSLER,1112
ENGLAND,1113
HEWITT,1114
BLANCO,1115
CONNOLLY,1116
PATE,1117
ELDER,1118
BRUNO,1119
HOLCOMB,1120
HYDE,1121
MCALLISTER,1122
CASH,1123
CHRISTOPHER,1124
WHITFIELD,1125
MEEKS,1126
HATCHER,1127
FINK,1128
SUTHERLAND,1128
NOEL,1130
RITCHIE,1131
ROSA,1132
LEAL,1133
JOYNER,1134
STARR,1135
MORIN,1136
DELAROSA,1137
CONNOR,1138
HILTON,1139
ALSTON,1140
GILLIAM,1141
WYNN,1142
WILLS,1143
JARAMILLO,1144
ONEIL,1145
NIEVES,1146
BRITTON,1147
RANKIN,1148
BELCHER,1149
GUY,1150
CHAMBERLAIN,1151
TYSON,1152
PUCKETT,1153
DOWNING,1154
SHARPE,1155
BOGGS,1156
TRUONG,1157
PIERSON,1158
GODFREY,1159
MOBLEY,1160
JOHN,1161
KERN,1162
DYE,1163
HOLLIS,1164
BRAVO,1165
MAGANA,1166
RUTHERFORD,1167
NG,1168
TUTTLE,1169
LIM,1170
ROMANO,1171
ARTHUR,1172
TREJO,1172
KNOWLES,1174
LYON,1175
SHIRLEY,1176
QUINONES,1177
CHILDS,1178
DOLAN,1179
HEAD,1180
REYNA,1181
SAENZ,1182
HASTINGS,1183
KENNEY,1184
CANO,1185
FOREMAN,1186
DENTON,1187
VILLALOBOS,1188
PRYOR,1189
SARGENT,1190
DOHERTY,1191
HOPPER,1192
PHAN,1193
WOMACK,1194
LOCKHART,1195
VENTURA,1196
DWYER,1197
MULLER,1198
GALINDO,1199
GRACE,1200
SORENSEN,1201
COURTNEY,1202
PARRA,1203
RODRIGUES,1204
NICHOLAS,1205
AHMED,1206
MCGINNIS,1207
LANGLEY,1208
MADISON,1209
LOCKE,1210
JAMISON,1211
NAVA,1212
GUSTAFSON,1213
SYKES,1214
DEMPSEY,1215
HAMM,1216
RODRIQUEZ,1217
MCGILL,1218
XIONG,1219
ESQUIVEL,1220
SIMMS,1221
KENDRICK,1222
BOYCE,1223
VIGIL,1224
DOWNEY,1225
MCKENNA,1226
SIERRA,1227
WEBBER,1228
KIRKPATRICK,1229
DICKINSON,1230
COUCH,1231
BURKS,1232
SHEEHAN,1233
SLAUGHTER,1234
PIKE,1235
WHITLEY,1236
MAGEE,1237
CHENG,1238
SINCLAIR,1239
CASSIDY,1240
RUTLEDGE,1241
BURRIS,1242
BOWLING,1243
CRABTREE,1244
MCNAMARA,1245
AVALOS,1246
VU,1247
HERRON,1248
BROUSSARD,1249
ABRAHAM,1250
GARLAND,1251
CORBETT,1252
CORBIN,1253
STINSON,1254
CHIN,1255
BURT,1256
HUTCHINS,1257
WOODRUFF,1258
LAU,1259
BRANDON,1260
SINGER,1261
HATCH,1262
ROSSI,1263
SHAFER,1264
OTT,1265
GOSS,1266
GREGG,1267
DEWITT,1268
TANG,1269
POLK,1270
WORLEY,1271
COVINGTON,1272
SALDANA,1273
HELLER,1274
EMERY,1275
SWARTZ,1276
CHO,1277
MCCRAY,1278
ELMORE,1279
ROSENBERG,1280
SIMONS,1281
CLEMONS,1282
BEATTY,1283
HARDEN,1284
HERBERT,1285
BLAND,1286
RUCKER,1287
MANLEY,1288
ZIEGLER,1289
GRADY,1290
LOTT,1291
ROUSE,1292
GLEASON,1293
MCCLELLAN,1294
ABRAMS,1295
VO,1296
ALBRIGHT,1297
MEIER,1298
DUNBAR,1299
ACKERMAN,1300
PADGETT,1301
MAYES,1302
TIPTON,1303
COFFMAN,1304
PERALTA,1305
SHAPIRO,1306
ROE,1307
WESTON,1308
PLUMMER,1309
HELTON,1310
STERN,1311
FRASER,1312
STOVER,1313
FISH,1314
SCHUMACHER,1315
BACA,1316
CURRAN,1317
VINSON,1318
VERA,1319
CLIFTON,1320
ERVIN,1321
ELDRIDGE,1322
LOWRY,1323
CHILDRESS,1324
BECERRA,1325
GORE,1326
SEYMOUR,1327
CHU,1328
FIELD,1329
AKERS,1330
CARRASCO,1331
BINGHAM,1332
STERLING,1333
GREENWOOD,1334
LESLIE,1335
GROVES,1336
MANUEL,1337
SWAIN,1338
EDMONDS,1339
MUNIZ,1340
THOMSON,1341
CROUCH,1342
WALDEN,1343
SMART,1344
TOMLINSON,1345
ALFARO,1346
QUICK,1347
GOLDMAN,1348
MCELROY,1349
YARBROUGH,1350
FUNK,1351
HONG,1352
PORTILLO,1353
LUND,1354
NGO,1355
ELKINS,1356
STROUD,1357
MEREDITH,1358
BATTLE,1359
MCCAULEY,1360
ZAPATA,1361
BLOOM,1362
GEE,1363
GIVENS,1364
CARDONA,1365
SCHAFER,1366
ROBISON,1367
GUNTER,1368
GRIGGS,1369
TOVAR,1370
TEAGUE,1371
SWIFT,1372
BOWDEN,1373
SCHULZ,1374
BLANTON,1375
BUCKNER,1376
WHALEN,1377
PRITCHARD,1378
PIERRE,1379
KANG,1380
BUTTS,1381
METCALF,1381
KURTZ,1383
SANDERSON,1384
TOMPKINS,1385
INMAN,1386
CROWDER,1387
DICKEY,1388
HUTCHISON,1389
CONKLIN,1390
HOSKINS,1391
HOLBROOK,1392
HORNER,1393
NEELY,1393
TATUM,1395
HOLLINGSWORTH,1396
DRAPER,1397
CLEMENT,1398
LORD,1399
REECE,1400
FELDMAN,1401
KAY,1402
HAGEN,1403
CREWS,1404
BOWLES,1405
POST,1406
JEWELL,1407
DALEY,1408
CORDERO,1409
MCKINLEY,1410
VELASCO,1411
MASTERS,1412
DRISCOLL,1413
BURRELL,1414
VALLE,1415
CROW,1416
DEVINE,1417
LARKIN,1418
CHAPPELL,1419
POLLOCK,1420
KIMBALL,1421
LY,1421
SCHMITZ,1423
LU,1424
RUBIN,1425
SELF,1426
BARRIOS,1427
PEREIRA,1428
PHIPPS,1429
MCMANUS,1430
NANCE,1431
STEINER,1432
POE,1433
CROCKETT,1434
JEFFRIES,1435
AMOS,1436
NIX,1437
NEWSOME,1438
DOOLEY,1439
PAYTON,1440
ROSEN,1441
SWENSON,1442
CONNELLY,1443
TOLBERT,1444
SEGURA,1445
ESPOSITO,1446
COKER,1447
BIGGS,1448
HINKLE,1449
THURMAN,1450
DREW,1451
IVEY,1452
BULLARD,1453
BAEZ,1454
NEFF,1455
MAHER,1456
STRATTON,1457
EGAN,1458
DUBOIS,1459
GALLARDO,1460
BLUE,1461
RAINEY,1462
YEAGER,1463
SAUCEDO,1464
FERREIRA,1465
SPRAGUE,1466
LACY,1467
HURTADO,1468
HEARD,1469
CONNELL,1470
STAHL,1471
ALDRIDGE,1472
AMAYA,1473
FORREST,1474
ERWIN,1475
GUNN,1475
SWAN,1477
BUTCHER,1478
ROSADO,1479
GODWIN,1480
HAND,1481
GABRIEL,1482
OTTO,1483
WHALEY,1484
LUDWIG,1485
CLIFFORD,1486
GROVE,1487
BEAVER,1488
SILVER,1489
DANG,1490
HAMMER,1491
DICK,1492
BOSWELL,1493
MEAD,1494
COLVIN,1495
OLEARY,1496
MILLIGAN,1497
GOINS,1498
AMES,1499
DODGE,1500
KAUR,1501
ESCOBEDO,1502
ARREDONDO,1503
GEIGER,1503
WINKLER,1505
DUNHAM,1506
TEMPLE,1507
BABCOCK,1508
BILLINGS,1509
GRIMM,1510
LILLY,1511
WESLEY,1512
MCGHEE,1513
PAINTER,1514
SIEGEL,1514
BOWER,1516
PURCELL,1517
BLOCK,1518
AGUILERA,1519
NORWOOD,1520
SHERIDAN,1521
CARTWRIGHT,1522
COATES,1523
DAVISON,1524
REGAN,1525
RAMEY,1526
KOENIG,1527
KRAFT,1528
BUNCH,1529
ENGEL,1530
TAN,1530
WINN,1532
STEWARD,1533
LINK,1534
VICKERS,1535
BRAGG,1536
PIPER,1537
HUGGINS,1538
MICHEL,1539
HEALY,1540
JACOB,1541
MCDONOUGH,1542
WOLFF,1543
COLBERT,1544
ZEPEDA,1545
HOANG,1546
DUGAN,1547
KILGORE,1548
MEADE,1548
GUILLEN,1550
DO,1551
HINOJOSA,1552
GOODE,1553
ARRINGTON,1554
GARY,1555
SNELL,1556
WILLARD,1557
RENTERIA,1558
CHACON,1559
GALLO,1560
HANKINS,1561
MONTANO,1562
BROWNE,1563
PEACOCK,1564
OHARA,1565
CORNELL,1566
SHERWOOD,1567
CASTELLANOS,1568
THORPE,1569
STILES,1570
SADLER,1571
LATHAM,1572
REDMOND,1573
GREENBERG,1574
COTE,1575
WADDELL,1576
DUKES,1577
DIAMOND,1578
BUI,1579
MADRID,1580
ALONSO,1581
SHEETS,1582
IRVIN,1583
HURT,1584
FERRIS,1585
SEWELL,1586
CARLTON,1587
ARAGON,1588
BLACKMON,1589
HADLEY,1590
HOYT,1591
MCGRAW,1592
PAGAN,1593
LAND,1594
TIDWELL,1595
LOVELL,1596
MINER,1597
DOSS,1598
DAHL,1599
DELATORRE,1600
STANFORD,1601
KAUFFMAN,1602
VELA,1603
GAGNON,1604
WINSTON,1605
GOMES,1606
THACKER,1607
CORONADO,1608
ASH,1609
JARRETT,1610
HAGER,1611
SAMUELS,1611
METZGER,1613
RAINES,1614
SPIVEY,1615
MAURER,1616
HAN,1617
VOSS,1618
HENLEY,1619
CABALLERO,1620
CARUSO,1621
COULTER,1622
NORTH,1623
FINN,1624
CAHILL,1625
LANIER,1625
SOUZA,1627
MCWILLIAMS,1628
DEAL,1629
SCHAFFER,1630
URBAN,1630
HOUSER,1632
CUMMINS,1633
ROMO,1634
CROCKER,1635
BASSETT,1636
KRUSE,1637
BOLDEN,1638
YBARRA,1639
METZ,1640
ROOT,1641
MCMULLEN,1642
CRUMP,1643
HAGAN,1643
GUIDRY,1645
BRANTLEY,1646
KEARNEY,1647
BEAL,1648
TOTH,1649
JORGENSEN,1650
TIMMONS,1651
MILTON,1652
TRIPP,1653
HURD,1654
SAPP,1655
WHITMAN,1656
MESSER,1657
BURGOS,1658
MAJOR,1659
